strain,stress_MPa
0.00019397582,13.065905
0.00019456093,13.120935
0.00019512393,13.228204
0.00019790947,12.640303
0.00019834386,12.866661
0.00019839944,13.45862
0.00019919129,13.557135
0.00020050247,13.352264
0.00020105622,13.293244
0.00020343841,13.611267
0.00020376814,13.407991
0.00020804567,14.203405
0.00020821597,13.509572
0.00020834431,14.379686
0.00020858745,13.940391
0.00020859059,13.174508
0.00020865115,14.044916
0.00020923145,14.150605
0.00021051326,13.833985
0.00021083085,14.259879
0.00021195192,13.664215
0.00021223774,14.319362
0.00021258128,13.885836
0.0002139719,13.780293
0.00021397868,13.72542
0.00021423555,14.09292
0.00021655289,14.481585
0.00021776215,13.991475
0.00021902306,14.641149
0.00021979078,14.432932
0.00022129522,14.531148
0.00022254378,15.236335
0.0002226503,14.861446
0.00022268429,15.009408
0.00022274465,14.80851
0.00022319373,15.064705
0.00022377704,14.956549
0.0002239469,14.756254
0.0002248937,14.587782
0.00022559478,14.699916
0.00022605673,15.120283
0.00022816205,15.174834
0.00022860452,15.392668
0.00022869669,14.91229
0.0002299817,15.338263
0.00023061324,15.538875
0.00023063759,15.440586
0.00023064997,15.597435
0.00023152456,15.288879
0.0002324034,15.488286
0.00023539671,15.874134
0.00023567315,16.026321
0.0002366532,16.25678
0.00023876897,15.928611
0.00023882426,15.711739
0.00024023151,16.133745
0.00024077645,15.764591
0.00024215025,15.65092
0.00024225219,15.819989
0.0002433904,16.512561
0.00024368282,15.981944
0.00024557358,16.684231
0.00024668019,16.080204
0.00024740836,16.842834
0.00024878587,16.572966
0.00024909054,16.794044
0.00024944931,16.411276
0.00024947901,16.741026
0.00024978213,16.459273
0.00024984636,16.19579
0.00025067618,16.358715
0.00025072035,16.629816
0.00025118786,16.942997
0.00025213445,17.215338
0.00025231151,16.887717
0.00025280182,16.306474
0.00025290533,16.997265
0.00025331871,17.373996
0.00025509863,17.100659
0.00025519292,17.421285
0.00025622833,17.052303
0.00025643678,17.320951
0.00025786511,17.702599
0.00025863586,17.477218
0.00025890212,18.327078
0.00025951055,17.154092
0.00025957492,17.652309
0.00026028042,17.809342
0.00026269824,17.273205
0.00026282654,17.597151
0.00026592209,18.122255
0.00026633905,18.179348
0.00026730882,17.755681
0.00026884203,17.535432
0.00027057564,18.230112
0.0002715433,18.278727
0.00027174723,17.957276
0.00027189379,18.012304
0.00027483838,18.505541
0.0002751979,17.913786
0.00027542271,18.613786
0.0002755101,18.559296
0.00027555026,18.81151
0.00027564487,18.666923
0.00027755508,18.976277
0.00027806265,18.443237
0.00027852596,18.066598
0.00027908887,17.863388
0.00028038732,18.381879
0.00028162037,18.866384
0.00028216568,19.144633
0.00028225921,18.919312
0.00028251683,19.458025
0.00028315748,18.72072
0.00028415441,19.089306
0.00028492263,19.349011
0.00028657909,18.765431
0.00028818007,19.401857
0.00028859843,19.572507
0.0002904426,19.515754
0.0002913369,19.779378
0.00029140129,19.034697
0.00029172553,19.931008
0.0002941905,19.246985
0.00029465837,19.87727
0.00029495276,19.826747
0.00029516954,19.193373
0.00029559632,19.296645
0.00029601326,19.677368
0.0002967206,20.156711
0.00029689444,19.985066
0.0002970795,20.044651
0.00029783338,19.731866
0.00029903931,20.205897
0.000301727,20.256966
0.00030253237,20.639885
0.00030407263,20.373083
0.00030407779,20.105968
0.00030732922,20.481753
0.00030779281,19.625672
0.00030848297,21.269628
0.00030930472,20.685979
0.00030944646,20.841517
0.00030999153,20.532126
0.00030999493,20.429833
0.00031046302,20.588761
0.0003115603,20.311331
0.00031259678,20.959478
0.00031272749,20.898217
0.00031610318,21.069166
0.00031691638,21.323308
0.00031863377,20.736532
0.00031978849,21.163389
0.00031983916,22.127
0.00032042632,21.496193
0.000321087,21.858945
0.0003212246,21.380898
0.00032230578,21.649661
0.00032243422,21.008133
0.00032291989,21.215522
0.00032293387,21.548587
0.00032320494,20.786731
0.00032451013,21.441338
0.00032573754,21.919613
0.00032587605,21.801925
0.00032612337,21.699679
0.00032869039,21.11737
0.00032878202,22.341686
0.00032897725,22.286148
0.00032904974,21.599999
0.00032998773,21.749792
0.00033111429,22.395784
0.00033167693,21.97429
0.00033188063,22.225476
0.00033689377,22.449715
0.00033810698,22.710086
0.00033948955,22.596737
0.00033978995,23.181484
0.00034016389,22.079513
0.00034064142,22.654192
0.00034070528,22.552631
0.00034093371,22.174354
0.00034107772,22.027481
0.00034161141,23.129117
0.00034203945,23.07731
0.00034326446,22.929699
0.00034425142,23.034213
0.00034436602,23.561664
0.00034439727,22.819027
0.00034449865,22.877691
0.0003464037,23.234019
0.00034658423,22.985656
0.00034808198,22.50338
0.0003510424,22.763457
0.00035185666,23.460555
0.00035237654,23.510745
0.00035337695,24.030976
0.00035418138,23.404683
0.00035422624,23.934747
0.00035566869,23.982796
0.00035578764,23.351052
0.00035607488,23.879484
0.00035654355,23.768347
0.00035879175,23.713137
0.00035975073,23.659952
0.00035994639,24.418171
0.00036024465,24.198035
0.00036114628,23.296865
0.0003615822,23.828562
0.0003616244,24.620612
0.0003628699,23.611299
0.00036332834,24.464831
0.00036507787,24.256117
0.00036517291,24.083426
0.00036729415,24.365408
0.0003673094,24.137007
0.00036901626,24.568754
0.00036927132,24.309957
0.00036957043,24.785841
0.00037296217,24.890515
0.00037430941,25.212002
0.00037456626,24.839238
0.00037468086,25.092236
0.00037522875,24.673887
0.00037690076,24.51162
0.00037707921,25.465246
0.00037715037,24.939968
0.00037739061,24.729167
0.00037820593,24.984951
0.00037827331,25.039992
0.00038143413,25.417529
0.00038197408,25.617725
0.00038300744,25.315108
0.00038524937,25.152629
0.00038564549,25.514847
0.00038569398,25.369817
0.00038646494,25.673028
0.00038695118,25.563345
0.00038728516,25.262294
0.00038748861,25.995178
0.00038933742,26.107549
0.00039008893,25.939075
0.00039056792,26.259096
0.00039155436,26.05033
0.00039274463,26.209459
0.00039535893,25.731991
0.00039573215,25.83952
0.0003958,25.78915
0.00039708449,26.307985
0.00039717749,26.667222
0.00039760458,26.158672
0.00039773245,26.920446
0.00039860837,25.888688
0.00039909247,26.353884
0.00039979384,27.18601
0.000400169,26.505277
0.00040138478,26.609359
0.00040286715,26.97013
0.0004039112,26.556101
0.00040449218,27.23446
0.0004068546,26.455365
0.00040742923,26.39879
0.00040836879,27.028129
0.00040840479,27.136112
0.00040876656,26.866125
0.00040900338,26.725432
0.00040914338,27.593729
0.00041006411,27.481466
0.00041054742,27.42711
0.00041366694,27.084921
0.0004160553,27.542327
0.00041639745,26.816067
0.00041691828,27.285918
0.00041699,27.376814
0.00041780495,27.330357
0.00041818139,27.838249
0.00041915582,26.769942
0.00041992017,28.233291
0.00042054361,27.644775
0.00042099583,27.892413
0.00042241001,27.946612
0.00042270818,27.695572
0.00042397109,27.791822
0.00042462937,28.044942
0.00042605505,27.746006
0.00042842736,27.996424
0.00042891399,28.095365
0.00043017012,28.284173
0.00043071716,28.495212
0.00043135623,28.335632
0.00043147583,28.140813
0.00043255832,28.385835
0.00043334927,28.183636
0.00043494099,28.441146
0.00043775713,28.542805
0.00043790648,28.63185
0.00043936194,29.100485
0.00043944061,28.677586
0.0004413058,29.015521
0.00044208497,28.588194
0.00044290175,28.972265
0.00044325834,28.728409
0.00044454169,28.880897
0.00044460334,28.922679
0.00044625221,28.829219
0.00044633244,29.469086
0.00044637857,28.774765
0.00044777736,29.058893
0.00044888546,29.341288
0.00045063646,29.51266
0.0004520089,29.660312
0.0004521113,29.144803
0.00045220078,29.428649
0.00045291081,29.239834
0.00045291954,29.386199
0.00045483522,29.603628
0.00045637292,29.89938
0.00045706459,29.560066
0.00045836752,29.288581
0.00045950575,29.193378
0.00046169375,29.698478
0.00046184692,29.821513
0.00046271946,29.780819
0.0004649591,29.737184
0.00046735589,29.943446
0.00046817091,30.195433
0.00047020294,30.29966
0.00047074091,30.116589
0.00047117008,29.854798
0.00047297711,29.983861
0.00047536315,30.424792
0.0004756376,30.157576
0.0004764855,30.261634
0.00047690117,30.024779
0.0004782343,30.386368
0.00047828461,30.339372
0.00047856455,30.495499
0.00047964302,30.22949
0.00048171238,30.535038
0.00048215426,30.07023
0.00048280834,30.665222
0.00048412673,30.459956
0.00048480438,30.568102
0.00048786435,30.595704
0.00049227314,30.745522
0.00049276089,30.778918
0.00049378016,30.84287
0.00049580364,31.039661
0.00049758405,30.703592
0.00049804603,30.936511
0.0004982764,30.81258
0.00050014122,30.629749
0.00050198107,30.871137
0.00050438484,31.094661
0.00050482795,31.068966
0.00050588794,31.147884
0.00050614726,31.179444
0.0005072174,31.008461
0.00050899322,30.97901
0.00051085178,31.122023
0.00051142952,31.26528
0.00051150813,30.901774
0.00051663682,31.298551
0.00051851332,31.20917
0.00051859595,31.236132
0.00052041459,31.327455
0.00052333193,31.447612
0.00052466915,31.351774
0.00052642594,31.476588
0.00052837684,31.374232
0.00052847563,31.392609
0.00052862178,31.532051
0.0005298588,31.419262
0.00053490423,31.554809
0.00053556538,31.619396
0.00053642247,31.636993
0.00053713884,31.597386
0.00053820856,31.57579
0.00053831479,31.502037
0.00053897478,31.65337
0.0005451945,31.674278
0.00054565325,31.699501
0.0005468256,31.730393
0.00054815136,31.769036
0.00054908986,31.818003
0.00055177996,31.869731
0.00055211371,31.74958
0.00055633711,31.79895
0.00055707908,31.787229
0.00055844315,31.885112
0.00056170004,31.946089
0.00056284751,31.839355
0.00056693353,31.921714
0.00056710289,31.904343
0.00057081968,31.975023
0.0005719725,31.994827
0.00057254406,31.936662
0.00057544324,32.047424
0.00057608612,31.959684
0.00057772553,32.097512
0.00057800827,32.0339
0.00058032616,32.063309
0.00058112512,32.013527
0.00058417971,32.142672
0.00058526123,32.090962
0.00058567833,32.111243
0.00058577269,32.076118
0.00059134428,32.163837
0.00059189841,32.127152
0.00059493706,32.177524
0.00059672713,32.210573
0.00059821813,32.187782
0.00060329582,32.25094
0.00060364746,32.19847
0.00060369347,32.225461
0.0006059857,32.220107
0.00060661062,32.237932
0.00060822247,32.311724
0.00061033226,32.33291
0.00061293032,32.265778
0.00061550546,32.3186
0.00061837862,32.300891
0.0006195719,32.28457
0.00062093847,32.29389
0.00063272794,32.404478
0.00063402371,32.374306
0.0006344347,32.384454
0.00063473216,32.345577
0.00063558269,32.361631
0.00063652118,32.408613
0.00063883613,32.415489
0.00064176469,32.395299
0.0006434734,32.449881
0.00064368925,32.44003
0.00064514356,32.426103
0.00064889798,32.462999
0.00065146973,32.488682
0.00065164242,32.480168
0.0006524564,32.504807
0.00065552713,32.50721
0.00065943765,32.497269
0.00065947296,32.543231
0.0006602961,32.51694
0.00066059347,32.530027
0.00066501152,32.56067
0.0006676638,32.588451
0.0006711254,32.57859
0.00067163309,32.570127
0.00067222254,32.602084
0.0006734519,32.596409
0.00067424897,32.615863
0.00067967304,32.603621
0.00068128647,32.624908
0.0006867899,32.700744
0.00068975655,32.669448
0.00068986482,32.664417
0.00069076587,32.656509
0.00069259526,32.641012
0.00069259737,32.675597
0.00069638489,32.679783
0.00069658156,32.68638
0.00070631557,32.722692
0.00070645401,32.717406
0.00070747091,32.733837
0.00070946072,32.751582
0.00070962263,32.742442
0.0007109027,32.748087
0.00071640707,32.80078
0.00072056074,32.814689
0.00072083368,32.78612
0.00072127917,32.756402
0.00072223392,32.768019
0.00072343067,32.776425
0.00072456988,32.822402
0.00072546547,32.818385
0.00072829339,32.847515
0.00072913091,32.835605
0.00073008179,32.827649
0.00073775517,32.88108
0.00073833754,32.856892
0.00073841249,32.866114
0.00073904148,32.898878
0.00074232343,32.907478
0.00074284412,32.895078
0.00075294986,32.912583
0.00075436399,32.914132
0.00075670479,32.971816
0.0007602934,32.931829
0.00076115799,32.954181
0.00076228247,32.94001
0.00076292217,32.919136
0.00076850472,32.977624
0.00077153298,32.966583
0.00077276675,32.985212
0.00077438666,33.018086
0.00077443329,32.983587
0.00077716173,33.003174
0.00077731434,33.028774
0.00077738589,32.99229
0.00078292839,33.043188
0.00078364353,33.038195
0.00078524137,33.060093
0.0007871951,33.054427
0.00079480845,33.045439
0.00079490683,33.044843
0.00079843183,33.079194
0.00079908837,33.070846
0.00080366294,33.110231
0.00080376502,33.116289
0.00080379063,33.103447
0.00080581068,33.09316
0.00080629415,33.110703
0.00080682948,33.129643
0.00080897972,33.12199
0.00081061031,33.140029
0.00081080418,33.160423
0.00081846179,33.178361
0.00082105894,33.191193
0.00082258238,33.165813
0.00082327161,33.183214
0.00082412709,33.195468
0.00082718992,33.191905
0.00082902344,33.168177
0.00083381374,33.212118
0.00083461679,33.2421
0.00083604234,33.225129
0.00084304419,33.248101
0.00084307341,33.245449
0.00084584762,33.204678
0.00084822402,33.249652
0.00085002993,33.293101
0.0008518011,33.256917
0.00085692329,33.268518
0.00085800284,33.281274
0.00086107875,33.302409
0.0008632047,33.310015
0.00086377781,33.320054
0.0008647408,33.358982
0.00086565644,33.328208
0.0008730735,33.345968
0.0008747474,33.316648
0.00087502982,33.319879
0.00087728268,33.371432
0.0008785868,33.335274
0.00088045197,33.391716
0.00088391311,33.392671
0.00088554676,33.448709
0.00088633939,33.383585
0.00088640034,33.415649
0.00088717281,33.378311
0.0008897987,33.396151
0.0008901611,33.431697
0.00089527469,33.453488
0.00089636126,33.404302
0.00089908194,33.469883
0.000900396,33.441207
0.00090164442,33.463734
0.00090437556,33.468068
0.00091430349,33.509158
0.0009150158,33.474793
0.0009174296,33.520745
0.00091819494,33.499005
0.00091826939,33.483303
0.00092028562,33.515014
0.00092117469,33.47182
0.00092260424,33.531264
0.00092766321,33.523703
0.00092811417,33.558119
0.0009326975,33.543871
0.00093284588,33.570637
0.00093352334,33.563275
0.0009384754,33.586442
0.00094017348,33.583838
0.00094127927,33.576997
0.00094511274,33.589183
0.00094820816,33.606204
0.00094823389,33.64108
0.00095013519,33.59651
0.00095351618,33.623629
0.00095536277,33.614009
0.00095723722,33.64062
0.00095959459,33.653358
0.00096026101,33.65202
0.00096231653,33.66261
0.00096611539,33.656396
0.00097012342,33.698964
0.00097117359,33.712941
0.00097299277,33.680625
0.00097347508,33.705786
0.00097686038,33.67407
0.00098316777,33.724635
0.00098384776,33.734477
0.00098465308,33.717637
0.0009868336,33.730864
0.00098684855,33.726702
0.00099025832,33.745554
0.00099048621,33.77717
0.00099420321,33.775565
0.00099458013,33.768837
0.0009952374,33.755257
0.0010008494,33.782628
0.0010020321,33.787344
0.0010043967,33.799068
0.0010074137,33.823303
0.0010099083,33.791818
0.0010102421,33.838242
0.001010535,33.830099
0.0010159865,33.841021
0.001016249,33.818705
0.0010195219,33.839058
0.0010195889,33.84815
0.001023524,33.856767
0.0010307236,33.88601
0.001031382,33.865746
0.0010318333,33.89781
0.0010342958,33.873245
0.0010354065,33.910299
0.0010357683,33.914472
0.0010370195,33.903485
0.0010434111,33.909412
0.0010452777,33.929468
0.0010465126,33.950289
0.001047579,33.941176
0.001048416,33.918815
0.0010504592,33.965008
0.0010564038,33.972219
0.0010575001,33.958224
0.0010581266,33.96825
0.0010582888,33.971946
0.0010587191,33.976648
0.0010645738,34.000762
0.0010664159,33.985408
0.0010677224,33.994325
0.0010702891,34.00967
0.001076526,34.017768
0.001077063,34.017006
0.0010792796,34.036905
0.0010794813,34.022701
0.0010827753,34.031562
0.0010834275,34.062338
0.0010848958,34.046148
0.0010863224,34.073605
0.0010877738,34.098327
0.0010892202,34.067518
0.0010910339,34.084082
0.0010936309,34.08143
0.001101373,34.081427
0.0011067079,34.088615
0.0011078906,34.118214
0.0011084382,34.103589
0.0011090904,34.134131
0.0011121443,34.143363
0.0011153461,34.130044
0.001118189,34.166438
0.0011188632,34.1502
0.0011201836,34.151541
0.0011202974,34.156258
0.0011208983,34.146635
0.0011252815,34.17526
0.0011271392,34.188873
0.0011325242,34.210836
0.0011364178,34.242396
0.0011376577,34.220433
0.0011381377,34.197007
0.0011393271,34.210599
0.0011395894,34.263985
0.0011399492,34.213619
0.0011453681,34.205307
0.0011457197,34.251307
0.0011470586,34.22598
0.0011498525,34.26624
0.0011523833,34.256854
0.0011537078,34.267412
0.001159488,34.306811
0.0011617776,34.32684
0.0011626367,34.275646
0.0011627278,34.313539
0.0011641577,34.302006
0.0011644955,34.320813
0.0011670741,34.317742
0.0011690142,34.28136
0.0011721067,34.339833
0.0011795256,34.322323
0.0011823807,34.347807
0.0011829881,34.360907
0.0011839095,34.372443
0.0011840221,34.33151
0.0011882099,34.378901
0.001190646,34.386584
0.0011924052,34.400472
0.0011938855,34.392137
0.0011946162,34.38874
0.0011972965,34.394664
0.0011991837,34.405159
0.0012060704,34.430991
0.0012065848,34.437066
0.0012092662,34.444927
0.0012099994,34.441765
0.0012105858,34.420531
0.0012163363,34.44735
0.0012182068,34.461444
0.0012203749,34.44857
0.0012223301,34.455042
0.0012245699,34.488227
0.0012247289,34.474306
0.0012258281,34.485299
0.0012302565,34.493291
0.0012326575,34.522718
0.0012343852,34.500496
0.0012349532,34.512202
0.0012380095,34.544073
0.0012390375,34.537799
0.0012390856,34.497916
0.001245349,34.532261
0.0012463937,34.502967
0.0012483896,34.544613
0.0012487433,34.552082
0.0012510791,34.56242
0.0012547465,34.544832
0.0012562453,34.567558
0.0012591154,34.575187
0.0012648824,34.589634
0.0012656528,34.593401
0.0012661445,34.614985
0.0012672199,34.600921
0.001273577,34.621356
0.0012747737,34.606628
0.0012759489,34.632813
0.0012763028,34.645989
0.0012770749,34.609666
0.0012775199,34.666911
0.0012811502,34.606892
0.0012826163,34.650222
0.001289145,34.660243
0.001290875,34.657413
0.0012935134,34.675214
0.0012938921,34.665063
0.0012961524,34.668433
0.0012973886,34.683933
0.0013003447,34.706981
0.0013091634,34.71033
0.0013098944,34.695318
0.0013112402,34.714635
0.0013129472,34.740009
0.0013158162,34.721564
0.0013158317,34.745883
0.0013163051,34.725699
0.0013178678,34.711211
0.001323205,34.757315
0.001324872,34.761074
0.0013257574,34.764402
0.0013288468,34.774061
0.0013292508,34.753228
0.0013336234,34.780412
0.0013363394,34.759635
0.0013371618,34.766737
0.0013399422,34.814935
0.0013426041,34.806919
0.0013438628,34.813012
0.0013450106,34.808195
0.0013477283,34.793025
0.0013521411,34.817121
0.0013522507,34.836542
0.0013546148,34.827779
0.0013546752,34.819731
0.0013579687,34.857253
0.0013588934,34.851863
0.00135982,34.859884
0.0013640581,34.867318
0.0013663283,34.872815
0.0013705269,34.880842
0.0013722948,34.866262
0.00137316,34.872883
0.0013738784,34.901506
0.0013760908,34.885131
0.0013780202,34.892859
0.0013802338,34.916282
0.0013820411,34.912025
0.0013836226,34.932944
0.0013885061,34.924855
0.0013894174,34.915513
0.0013922356,34.917925
0.0013947845,34.946287
0.0013968928,34.955996
0.0014042927,34.957283
0.0014044164,34.974245
0.0014073046,34.965705
0.0014074908,34.987715
0.0014080876,34.963062
0.0014096246,35.001035
0.001410494,34.960339
0.0014119902,34.9644
0.0014153153,34.984067
0.0014175188,35.01595
0.0014191866,35.020785
0.0014202329,35.01395
0.0014243416,35.021049
0.0014275436,35.026047
0.0014305148,35.042368
0.0014315814,35.034715
0.0014341933,35.063709
0.001436386,35.055866
0.0014370443,35.022031
0.0014397426,35.065426
0.0014414754,35.078375
0.0014428937,35.07747
0.0014432743,35.073361
0.0014461556,35.076479
0.0014481344,35.100118
0.0014498478,35.087938
0.0014563779,35.082708
0.0014565771,35.107579
0.0014597879,35.119026
0.0014607037,35.116967
0.0014635747,35.113743
0.0014641483,35.124653
0.0014647009,35.114072
0.0014673452,35.152487
0.0014683569,35.129699
0.0014790014,35.157376
0.0014793706,35.169701
0.0014796678,35.140796
0.0014813214,35.161766
0.0014826566,35.159725
0.0014831864,35.163534
0.001486589,35.174418
0.0014866388,35.190691
0.0014904136,35.198727
0.0014934406,35.182074
0.0014949928,35.215028
0.0015000222,35.216656
0.0015033024,35.204055
0.0015055905,35.222906
0.0015057103,35.214559
0.0015110729,35.248079
0.0015141567,35.217181
0.0015144206,35.248788
0.0015156214,35.27378
0.00151672,35.256809
0.0015168641,35.241028
0.0015213366,35.256866
0.0015227071,35.262867
0.0015265591,35.268586
0.0015273354,35.28998
0.0015292211,35.268301
0.0015305157,35.281196
0.0015335998,35.277384
0.0015347349,35.299837
0.0015387304,35.307087
0.0015387431,35.337555
0.001540845,35.304886
0.0015419258,35.30571
0.0015466081,35.313482
0.0015490165,35.318463
0.0015502866,35.33444
0.0015578412,35.351435
0.0015584052,35.35829
0.0015597319,35.347166
0.0015611134,35.348462
0.0015615443,35.340723
0.0015645565,35.360399
0.0015650887,35.368942
0.001566969,35.389906
0.001571003,35.347394
0.0015738286,35.405174
0.0015756509,35.378978
0.0015783292,35.394655
0.0015811708,35.401119
0.0015837704,35.402623
0.0015857834,35.427793
0.0015874026,35.398321
0.0015885744,35.398425
0.0015892951,35.432177
0.0015911503,35.414542
0.0015926223,35.439362
0.0015955614,35.442358
0.001598585,35.447214
0.0016012038,35.451678
0.0016030205,35.459898
0.0016041986,35.454997
0.0016108418,35.451097
0.0016131758,35.474433
0.0016133387,35.482953
0.0016135745,35.468047
0.0016154351,35.484038
0.0016208469,35.501748
0.0016228397,35.512771
0.0016232089,35.524402
0.0016233272,35.484033
0.001624823,35.482929
0.0016256618,35.516627
0.001626204,35.524076
0.0016306621,35.519846
0.0016314194,35.488871
0.0016399053,35.533328
0.0016406743,35.527719
0.0016410368,35.545307
0.0016449154,35.551711
0.0016495464,35.525227
0.0016502234,35.541391
0.001651135,35.569127
0.0016581624,35.57403
