stress_MPa,vT_m_s
15.236335,3121.8239
15.288879,3121.5073
15.338263,3121.8552
15.392668,3121.904
15.440586,3121.8436
15.488286,3121.8428
15.538875,3121.816
15.597435,3121.9548
15.65092,3121.9328
15.711739,3122.013
15.764591,3121.898
15.819989,3122.0118
15.874134,3121.9563
15.928611,3121.8751
15.981944,3122.0257
16.026321,3121.9877
16.080204,3122.1059
16.133745,3121.9527
16.19579,3122.0935
16.25678,3122.2256
16.306474,3122.1815
16.358715,3122.1728
16.411276,3122.273
16.459273,3122.2308
16.512561,3122.2084
16.572966,3122.2648
16.629816,3122.3795
16.684231,3122.2258
16.741026,3122.2181
16.794044,3122.3688
16.842834,3122.4686
16.887717,3122.337
16.942997,3122.4454
16.997265,3122.3546
17.052303,3122.5995
17.100659,3122.5007
17.154092,3122.3845
17.215338,3122.4126
17.273205,3122.5403
17.320951,3122.5164
17.373996,3122.6317
17.421285,3122.4651
17.477218,3122.5326
17.535432,3122.529
17.597151,3122.5947
17.652309,3122.4732
17.702599,3122.7666
17.755681,3122.7459
17.809342,3122.7085
17.863388,3122.8731
17.913786,3122.6888
17.957276,3122.7542
18.012304,3122.7924
18.066598,3122.7061
18.122255,3122.7533
18.179348,3122.8654
18.230112,3122.8259
18.278727,3122.8264
18.327078,3122.9646
18.381879,3122.9982
18.443237,3122.6346
18.505541,3123.0161
18.559296,3122.8973
18.613786,3122.9902
18.666923,3122.9356
18.72072,3122.987
18.765431,3122.7836
18.81151,3122.8098
18.866384,3122.8107
18.919312,3122.7803
18.976277,3122.7554
19.034697,3122.8216
19.089306,3122.7242
19.144633,3122.6841
19.193373,3122.6486
19.246985,3122.6254
19.296645,3122.5794
19.349011,3122.6327
19.401857,3122.6009
19.458025,3122.5511
19.515754,3122.5086
19.572507,3122.5771
19.625672,3122.4919
19.677368,3122.4814
19.731866,3122.5343
19.779378,3122.5094
19.826747,3122.4672
19.87727,3122.5338
19.931008,3122.3842
19.985066,3122.3975
20.044651,3122.4488
20.105968,3122.2843
20.156711,3122.2754
20.205897,3122.2116
20.256966,3122.3012
20.311331,3122.224
20.373083,3122.2389
20.429833,3122.1305
20.481753,3122.1711
20.532126,3122.1451
20.588761,3122.1289
20.639885,3122.0719
20.685979,3122.1189
20.736532,3122.1227
20.786731,3122.0377
20.841517,3121.9838
20.898217,3122.0298
20.959478,3121.9967
21.008133,3121.904
21.069166,3121.941
21.11737,3121.9603
21.163389,3121.8868
21.215522,3121.8701
21.269628,3121.7011
21.323308,3121.7799
21.380898,3121.6742
21.441338,3121.7039
21.496193,3121.639
21.548587,3121.7167
21.599999,3121.6798
21.649661,3121.5871
21.699679,3121.6047
21.749792,3121.6951
21.801925,3121.5819
21.858945,3121.64
21.919613,3121.6215
21.97429,3121.5479
22.027481,3121.5442
22.079513,3121.4626
22.127,3121.5127
22.174354,3121.4188
22.225476,3121.4529
22.286148,3121.4057
22.341686,3121.3758
22.395784,3121.4002
22.449715,3121.3225
22.50338,3121.3302
22.552631,3121.2824
22.596737,3121.2788
22.654192,3121.2237
22.710086,3121.2291
22.763457,3121.3003
22.819027,3121.2071
22.877691,3121.2558
22.929699,3121.229
22.985656,3121.2572
23.034213,3121.199
23.07731,3121.3933
23.129117,3121.3478
23.181484,3121.3662
23.234019,3121.2862
23.296865,3121.2847
23.351052,3121.3111
23.404683,3121.3405
23.460555,3121.5189
23.510745,3121.4054
23.561664,3121.6247
23.611299,3121.5172
23.659952,3121.5361
23.713137,3121.505
23.768347,3121.6827
23.828562,3121.6139
23.879484,3121.6647
23.934747,3121.5675
23.982796,3121.4141
24.030976,3121.4128
24.083426,3121.6325
24.137007,3121.8115
24.198035,3121.7748
24.256117,3121.7629
24.309957,3121.9086
24.365408,3121.927
24.418171,3121.8226
24.464831,3121.8691
24.51162,3121.9363
24.568754,3121.9476
24.620612,3121.9519
24.673887,3121.9551
24.729167,3122.0091
24.785841,3122.3468
24.839238,3121.8697
24.890515,3122.0265
24.939968,3121.9492
24.984951,3122.1456
25.039992,3121.9453
25.092236,3122.1583
25.152629,3122.2575
25.212002,3122.2365
25.262294,3122.1787
25.315108,3122.1585
25.369817,3122.4336
25.417529,3122.414
25.465246,3122.3278
25.514847,3122.4839
25.563345,3122.38
25.617725,3122.3861
25.673028,3122.4532
25.731991,3122.591
25.78915,3122.5716
25.83952,3122.5503
25.888688,3122.4505
25.939075,3122.5236
25.995178,3122.5864
26.05033,3122.6353
26.107549,3122.6612
26.158672,3122.6064
26.209459,3122.5819
26.259096,3122.6279
26.307985,3123.6219
26.353884,3122.5954
26.39879,3122.497
26.455365,3122.4704
26.505277,3122.4099
26.556101,3122.4167
26.609359,3122.4265
26.667222,3122.4336
26.725432,3122.3343
26.769942,3122.3904
26.816067,3122.2771
26.866125,3123.1727
26.920446,3122.3311
26.97013,3122.2551
27.028129,3122.2776
27.084921,3122.194
27.136112,3122.1021
27.18601,3122.1952
27.23446,3122.0921
27.285918,3122.0724
27.330357,3123.0123
27.376814,3121.9651
27.42711,3121.9544
27.481466,3122.8964
27.542327,3122.7969
27.593729,3122.8395
27.644775,3121.8068
27.695572,3122.812
27.746006,3121.7356
27.791822,3122.632
27.838249,3122.5876
27.892413,3121.626
27.946612,3121.6183
27.996424,3122.6119
28.044942,3122.4359
28.095365,3122.505
28.140813,3122.4988
28.183636,3122.4002
28.233291,3121.4501
28.284173,3122.4316
28.335632,3122.3731
28.385835,3122.359
28.441146,3122.2588
28.495212,3122.3137
28.542805,3122.2318
28.588194,3121.2104
28.63185,3122.1322
28.677586,3121.0297
28.728409,3122.0616
28.774765,3122.0746
28.829219,3122.0611
28.880897,3122.0315
28.922679,3122.0167
28.972265,3121.9369
29.015521,3121.9682
29.058893,3121.9536
29.100485,3121.9224
29.144803,3121.8275
29.193378,3121.8163
29.239834,3122.0215
29.288581,3121.8922
29.341288,3121.8543
29.386199,3121.8866
29.428649,3121.8541
29.469086,3121.9199
29.51266,3121.8662
29.560066,3122.0017
29.603628,3122.0332
29.660312,3122.022
29.698478,3122.0524
29.737184,3122.0541
29.780819,3122.263
29.821513,3122.2144
29.854798,3122.2216
29.89938,3122.3214
29.943446,3122.1967
29.983861,3122.1631
30.024779,3122.319
30.07023,3122.2657
30.116589,3122.3765
30.157576,3122.4445
30.195433,3122.4369
30.22949,3122.5371
30.261634,3122.5796
30.29966,3122.4879
30.339372,3122.5875
30.386368,3122.6611
30.424792,3122.6226
30.459956,3122.6604
30.495499,3122.7392
30.535038,3122.8666
30.568102,3122.8569
30.595704,3122.7919
30.629749,3122.7669
30.665222,3121.9975
30.703592,3122.7518
30.745522,3122.8712
30.778918,3122.6522
30.81258,3122.9409
30.84287,3123.0648
30.871137,3122.9417
30.901774,3122.9805
30.936511,3123.0737
30.97901,3123.1408
31.008461,3123.0878
31.039661,3123.1133
31.068966,3123.1856
31.094661,3123.2158
31.122023,3123.1772
31.147884,3123.1165
31.179444,3123.1752
31.20917,3123.1049
31.236132,3123.074
31.26528,3123.1019
31.298551,3123.0707
31.327455,3123.0105
31.351774,3123.0336
31.374232,3122.9169
31.392609,3122.9712
31.419262,3122.8519
31.447612,3122.8615
31.476588,3122.8699
31.502037,3122.7073
31.532051,3122.7542
31.554809,3122.7459
31.57579,3122.6776
31.597386,3122.7361
31.619396,3122.6531
31.636993,3122.6646
31.65337,3122.5969
31.674278,3122.6034
31.699501,3122.4795
31.730393,3122.5453
31.74958,3122.5118
31.769036,3122.5034
31.787229,3122.372
31.79895,3122.4736
31.818003,3122.4261
31.839355,3122.4602
31.869731,3122.3849
31.885112,3122.276
31.904343,3122.3822
31.921714,3122.2604
31.936662,3122.3154
31.946089,3122.2327
31.959684,3122.3711
31.975023,3122.3082
31.994827,3122.3164
32.013527,3122.3004
32.0339,3122.2495
32.047424,3122.2182
32.063309,3122.2447
32.076118,3122.2275
32.090962,3122.1848
32.097512,3122.2292
32.111243,3122.1812
32.127152,3122.1652
32.142672,3122.1378
32.163837,3122.0388
32.177524,3122.1172
32.187782,3122.0393
32.19847,3122.0659
32.210573,3122.0354
32.220107,3122.0835
32.225461,3121.9907
32.237932,3121.9981
32.25094,3121.9835
32.265778,3122.0255
32.28457,3121.9501
32.29389,3121.9893
32.300891,3122.0027
32.311724,3122.0039
32.3186,3122.0029
32.33291,3121.8949
32.345577,3121.9024
32.361631,3121.9206
32.374306,3121.9964
32.384454,3121.8353
32.395299,3121.9651
32.404478,3121.9116
32.408613,3121.8649
32.415489,3121.9777
32.426103,3121.9057
32.44003,3121.9443
32.449881,3121.9166
32.462999,3121.9882
32.480168,3121.8572
32.488682,3121.901
32.497269,3121.8829
32.504807,3121.9961
32.50721,3121.8948
32.51694,3121.8354
32.530027,3121.8412
32.543231,3121.8919
32.56067,3121.8415
32.570127,3121.7898
32.57859,3121.8343
32.588451,3121.7995
32.596409,3121.8601
32.602084,3121.9482
32.603621,3121.8826
32.615863,3121.7633
32.624908,3121.7579
32.641012,3121.8764
32.656509,3121.7764
32.664417,3121.7965
32.669448,3121.7742
32.675597,3121.6901
32.679783,3121.747
32.68638,3121.8341
32.700744,3121.7671
32.717406,3121.7576
32.722692,3121.766
32.733837,3121.8118
32.742442,3121.785
32.748087,3121.7284
32.751582,3121.7738
32.756402,3121.8067
32.768019,3121.812
32.776425,3121.6661
32.78612,3121.8302
32.80078,3121.7076
32.814689,3121.7768
32.818385,3121.6661
32.822402,3121.6856
32.827649,3121.687
32.835605,3121.67
32.847515,3121.6548
32.856892,3121.6229
32.866114,3121.7022
32.88108,3121.6654
32.895078,3121.5874
32.898878,3121.6084
32.907478,3121.6929
32.912583,3121.6272
32.914132,3121.6018
32.919136,3121.5998
32.931829,3121.608
32.94001,3121.5156
32.954181,3121.4963
32.966583,3121.4835
32.971816,3121.6629
32.977624,3121.5685
32.983587,3121.4985
32.985212,3121.4743
32.99229,3121.5197
33.003174,3121.4558
33.018086,3121.4856
33.028774,3121.5226
33.038195,3121.5472
33.043188,3121.4582
33.044843,3121.4104
33.045439,3121.5299
33.054427,3121.4413
33.060093,3121.5808
33.070846,3121.4348
33.079194,3121.5055
33.09316,3121.4759
33.103447,3121.5523
33.110231,3121.5354
33.110703,3121.4651
33.116289,3121.3949
33.12199,3121.4272
33.129643,3121.4496
33.140029,3121.4454
33.160423,3121.4768
33.165813,3121.5072
33.168177,3121.4435
33.178361,3121.4074
33.183214,3121.4467
33.191193,3121.4433
33.191905,3121.3337
33.195468,3121.3659
33.204678,3121.3753
33.212118,3121.3237
33.225129,3121.3271
33.2421,3121.3996
33.245449,3121.3911
33.248101,3121.3711
33.249652,3121.363
33.256917,3121.2424
33.268518,3121.3032
33.281274,3121.3356
33.293101,3121.2312
33.302409,3121.2256
33.310015,3121.2698
33.316648,3121.2525
33.319879,3121.2356
33.320054,3121.2338
33.328208,3121.2301
33.335274,3121.172
33.345968,3121.2334
33.358982,3121.2129
33.371432,3121.1526
33.378311,3121.2229
33.383585,3121.1036
33.391716,3121.1274
33.392671,3121.0607
33.396151,3121.0438
33.404302,3121.1383
33.415649,3121.0325
33.431697,3121.0862
33.441207,3121.0839
33.448709,3121.0552
33.453488,3121.0492
33.463734,3121.0634
33.468068,3120.9867
33.469883,3121.1036
33.47182,3121.0489
33.474793,3121.0431
33.483303,3121.0089
33.499005,3121.1128
33.509158,3121.0521
33.515014,3120.9674
33.520745,3120.9317
33.523703,3120.9632
33.531264,3120.9833
33.543871,3120.9547
33.558119,3120.9923
33.563275,3120.9711
33.570637,3120.8898
33.576997,3120.8932
33.583838,3120.8952
33.586442,3120.8131
33.589183,3120.9474
33.59651,3121.0077
33.606204,3120.8668
33.614009,3120.889
33.623629,3120.8805
33.64062,3120.8776
33.64108,3121.0187
33.65202,3120.8455
33.653358,3120.921
33.656396,3120.8609
33.66261,3120.8137
33.67407,3120.8312
33.680625,3120.707
33.698964,3120.7587
33.705786,3120.8013
33.712941,3120.8267
33.717637,3120.7971
33.724635,3120.7646
33.726702,3120.8348
33.730864,3120.8486
33.734477,3120.7569
33.745554,3120.8083
33.755257,3120.7952
33.768837,3120.7263
33.775565,3120.6766
33.77717,3120.783
33.782628,3120.6852
33.787344,3120.6922
33.791818,3120.7679
33.799068,3120.7206
33.818705,3120.7361
33.823303,3120.6406
33.830099,3120.6577
33.838242,3120.6497
33.839058,3120.7417
33.841021,3120.5449
33.84815,3120.6981
33.856767,3120.5684
33.865746,3120.7179
33.873245,3120.6899
33.88601,3120.5715
33.89781,3120.6072
33.903485,3120.5432
33.909412,3120.5281
33.910299,3120.5428
33.914472,3120.6247
33.918815,3120.4904
33.929468,3120.5459
33.941176,3120.4908
33.950289,3120.4592
33.958224,3120.5029
33.965008,3120.4944
33.96825,3120.4708
33.971946,3120.4479
33.972219,3120.3764
33.976648,3120.4192
33.985408,3120.4518
33.994325,3120.4211
34.000762,3120.4135
34.00967,3120.4262
34.017006,3120.4529
34.017768,3120.3667
34.022701,3120.4028
34.031562,3120.408
34.036905,3121.4154
34.046148,3120.3068
34.062338,3121.1937
34.067518,3120.3545
34.073605,3120.3779
34.081427,3120.3545
34.08143,3120.2147
34.084082,3120.4016
34.088615,3121.3281
34.098327,3120.2937
34.103589,3120.2664
34.118214,3121.2569
34.130044,3121.217
34.134131,3120.1818
34.143363,3120.2238
34.146635,3121.2288
34.1502,3121.2589
34.151541,3121.2322
34.156258,3120.2081
34.166438,3120.2402
34.17526,3121.2364
34.188873,3120.2415
34.197007,3121.1981
34.205307,3121.1445
34.210599,3120.0893
34.210836,3121.1413
34.213619,3121.0901
34.220433,3120.9806
34.22598,3121.1924
34.242396,3121.1296
34.251307,3121.0618
34.256854,3121.0933
34.263985,3121.0812
34.26624,3121.1349
34.267412,3121.1049
34.275646,3121.0382
34.28136,3121.0002
34.302006,3121.0385
34.306811,3121.0499
34.313539,3121.1129
34.317742,3121.0331
34.320813,3121.0362
34.322323,3120.9955
34.32684,3121.0052
34.33151,3120.9523
34.339833,3120.9722
34.347807,3120.9342
34.360907,3120.965
34.372443,3120.9601
34.378901,3120.9145
34.386584,3120.8906
34.38874,3120.8925
34.392137,3120.8619
34.394664,3120.9243
34.400472,3120.8226
34.405159,3120.8853
34.420531,3120.8458
34.430991,3120.8181
34.437066,3120.863
34.441765,3120.8611
34.444927,3120.8329
34.44735,3120.9131
34.44857,3120.8943
34.455042,3120.8593
34.461444,3120.8974
34.474306,3120.919
34.485299,3120.8106
34.488227,3120.9082
34.493291,3120.851
34.497916,3120.8724
34.500496,3120.8776
34.502967,3120.7695
34.512202,3120.8071
34.522718,3120.7924
34.532261,3120.7789
34.537799,3120.8938
34.544073,3120.7564
34.544613,3120.76
34.544832,3120.7326
34.552082,3120.7845
34.56242,3120.7861
34.567558,3120.7568
34.575187,3120.7687
34.589634,3120.7568
34.593401,3120.6294
34.600921,3120.6973
34.606628,3120.7152
34.606892,3120.6354
34.609666,3120.608
34.614985,3120.7315
34.621356,3120.6605
34.632813,3120.5819
34.645989,3120.6237
34.650222,3120.5862
34.657413,3120.4917
34.660243,3120.5732
34.665063,3120.5319
34.666911,3120.4972
34.668433,3120.7257
34.675214,3120.4837
34.683933,3120.6076
34.695318,3120.5016
34.706981,3120.4731
34.71033,3120.4867
34.711211,3120.5168
34.714635,3120.5757
34.721564,3120.5547
34.725699,3120.5512
34.740009,3120.5044
34.745883,3120.5012
34.753228,3120.479
34.757315,3120.5157
34.759635,3120.4425
34.761074,3120.4519
34.764402,3120.4386
34.766737,3120.4409
34.774061,3120.5224
34.780412,3120.4318
34.793025,3120.4224
34.806919,3120.4218
34.808195,3120.4356
34.813012,3120.4375
34.814935,3120.4109
34.817121,3120.4439
34.819731,3120.3163
34.827779,3120.3641
34.836542,3120.3652
34.851863,3120.3582
34.857253,3120.359
34.859884,3120.3992
34.866262,3120.3942
34.867318,3120.414
34.872815,3120.3171
34.872883,3120.38
34.880842,3120.3948
34.885131,3120.3526
34.892859,3120.3661
34.901506,3120.3867
34.912025,3120.2921
34.915513,3120.278
34.916282,3120.2782
34.917925,3120.2667
34.924855,3120.3528
34.932944,3120.3031
34.946287,3120.1811
34.955996,3120.2947
34.957283,3120.2396
34.960339,3120.3023
34.963062,3120.271
34.9644,3120.1517
34.965705,3120.2827
34.974245,3120.2378
34.984067,3120.0583
