extension_nm,force_pN
-9.5827379,1.9511203
-9.5990124,1.9515412
-9.5469761,1.9492136
-9.6902885,1.9501479
-9.7443905,1.9499002
-9.929285,1.9497344
-9.9606571,1.95039
-9.9214926,1.9486414
-9.922142,1.9520682
-9.8167362,1.94899
-9.6240082,1.9495956
-9.5614786,1.9495946
-9.7114553,1.9473153
-9.42274,1.9499886
-9.3199129,1.9497344
-9.1656561,1.951146
-8.9645891,1.9476573
-9.1443539,1.9512031
-9.6556911,1.9481217
-9.7718658,1.950726
-9.8395948,1.9478486
-9.9474373,1.9489597
-10.241482,1.9513173
-9.9079132,1.9500144
-9.886837,1.9488456
-9.9795704,1.9493728
-10.046216,1.9485586
-9.8955221,1.950681
-10.434346,1.9472831
-10.695107,1.9484068
-10.574992,1.9486607
-10.692632,1.9491943
-10.920754,1.9498229
-10.714474,1.9517633
-10.739352,1.9493222
-10.609258,1.9486479
-10.422459,1.948336
-10.518057,1.947855
-10.908547,1.9477787
-11.004363,1.9492072
-11.049585,1.9459957
-11.378868,1.9503384
-11.076647,1.9511331
-11.197363,1.9474357
-11.443407,1.9489652
-10.987274,1.9494106
-11.178181,1.9512095
-10.963099,1.9512095
-11.077537,1.9504452
-11.264231,1.9480325
-11.448276,1.9476628
-11.680132,1.9467317
-11.375803,1.9526728
-11.492142,1.9508854
-11.293917,1.947296
-11.65926,1.9519595
-11.595272,1.9497658
-11.420008,1.9515845
-11.603578,1.9493599
-10.851693,1.9473089
-10.963346,1.9477143
-10.428174,1.9498165
-9.9780607,1.9502243
-9.9756069,1.9482348
-9.8944874,1.9480637
-9.8592319,1.946807
-10.038717,1.9491557
-9.6481323,1.9498044
-10.09935,1.9494612
-9.86059,1.9480325
-10.292114,1.9482229
-10.84983,1.9496526
-11.02522,1.9500576
-10.976051,1.947194
-11.047775,1.9488447
-11.001942,1.9516416
-11.084919,1.950599
-11.380118,1.949048
-11.386424,1.9472831
-11.531487,1.9515531
-11.28651,1.9489284
-11.3524,1.9475553
-11.583365,1.944923
-11.579,1.9516858
-11.38621,1.9470929
-10.959414,1.948934
-11.27745,1.9487756
-11.247063,1.9467877
-11.194069,1.9489477
-10.564235,1.9480325
-10.871255,1.953475
-10.406537,1.9498873
-10.076743,1.9471875
-10.208836,1.9483563
-10.240637,1.9508218
-10.57367,1.9516029
-10.641834,1.9502748
-10.516939,1.946864
-10.695653,1.949868
-10.574179,1.9519862
-10.820318,1.9505547
-10.823211,1.9498229
-10.803349,1.9485145
-10.627638,1.9483682
-10.575269,1.9480389
-10.596072,1.9512933
-10.53855,1.951298
-10.56492,1.9485209
-10.774733,1.9467877
-10.545896,1.9504526
-10.62081,1.9511396
-10.82351,1.9476776
-11.216556,1.9477842
-11.405544,1.948909
-11.633699,1.9510189
-11.739454,1.9480454
-11.905368,1.9469348
-12.015007,1.9513432
-12.133636,1.9478596
-12.048729,1.9490802
-12.295362,1.9484316
-12.145076,1.9480822
-11.949246,1.948496
-11.673893,1.9493922
-12.029099,1.951088
-12.083749,1.9467877
-12.066782,1.9467877
-11.901738,1.9486543
-12.111097,1.9522848
-12.121216,1.9502684
-11.74102,1.95025
-11.744623,1.9491372
-11.651636,1.9494677
-11.765837,1.9503384
-11.648142,1.9506311
-11.435236,1.9514334
-11.296722,1.9506247
-11.128718,1.9465406
-11.197919,1.9511331
-10.944239,1.9488897
-10.580449,1.949036
-10.71022,1.9495053
-10.481234,1.9463503
-10.658854,1.9464386
-10.611614,1.9506754
-10.066672,1.9504019
-10.126832,1.9467436
-9.9843388,1.9476316
-9.8976727,1.9477777
-9.6623535,1.9522728
-9.5488167,1.951216
-9.2516851,1.9505483
-8.9139891,1.9480822
-8.9080381,1.9505225
-8.9805365,1.947137
-9.1117573,1.9508034
-8.5295172,1.9488769
-8.3457108,1.9508724
-8.1689939,1.9490103
-7.887064,1.9497539
-8.1583481,1.9477971
-7.6812983,1.9515024
-7.801394,1.951496
-7.8385758,1.9464386
-7.8685856,1.949671
-8.04671,1.9524249
-7.7408638,1.950726
-7.585659,1.9526027
-8.1437798,1.9515467
-7.9529204,1.9493848
-8.2127934,1.9441758
-8.0462561,1.9487113
-7.9157286,1.9502243
-8.0073338,1.9487103
-8.0447845,1.9484326
-7.6703596,1.953379
-7.431128,1.9520875
-7.4954691,1.9470671
-7.4374156,1.9507132
-7.2698507,1.9535192
-6.9977884,1.9502491
-7.0112052,1.9468576
-6.931366,1.9478669
-6.437355,1.9497668
-6.5969687,1.9505612
-6.8381047,1.9473025
-7.2394404,1.9502877
-7.1589742,1.950053
-7.4161758,1.9499627
-7.4002929,1.9486543
-7.5658493,1.9522147
-7.5013223,1.9515283
-7.6363974,1.9480196
-7.813127,1.9488897
-7.7520223,1.9489404
-7.8127499,1.9486984
-7.7829013,1.9493084
-7.4349952,1.9520692
-7.7194786,1.9470488
-7.8178077,1.9475682
-7.9592137,1.9498054
-7.9164634,1.9482605
-7.9020076,1.9517384
-7.939465,1.9506054
-8.2025995,1.9477336
-8.1515627,1.9487048
-8.2348747,1.9480132
-8.3280106,1.9524056
-8.2205524,1.9500641
-7.9787445,1.9498487
-8.2869492,1.949995
-8.7491646,1.9497668
-8.7894573,1.9480766
-8.6040773,1.9486358
-8.4645224,1.9515669
-8.498476,1.9519852
-8.8196402,1.9480251
-8.7781105,1.9485089
-9.2699947,1.9491243
-9.1404524,1.9529337
-9.2571478,1.9509424
-9.1678896,1.9482541
-9.3722095,1.947753
-9.5475883,1.9502436
-9.7400274,1.9505483
-9.4204721,1.9484372
-9.1949596,1.9523162
-9.1934948,1.9487425
-9.4452229,1.9485402
-9.4321108,1.9495817
-8.885705,1.9485779
-8.9603138,1.9534556
-9.0049057,1.9490995
-9.0386896,1.94708
-8.8998165,1.9489468
-9.2273664,1.9494677
-9.2182083,1.9501358
-9.4401922,1.9478734
-9.4901218,1.9494741
-9.6569614,1.9479498
-9.6716356,1.9494934
-9.8418007,1.9509166
-9.8620224,1.9494805
-9.905097,1.9491243
-9.6109581,1.9494418
-9.6357546,1.9472252
-10.244984,1.9462098
-10.124013,1.9525069
-9.8844814,1.9491879
-9.9703331,1.9496065
-10.12624,1.9507776
-10.226131,1.950274
-10.174718,1.9500015
-10.050383,1.9471692
-10.009969,1.9491253
-9.7026491,1.9482477
-9.6053286,1.9479305
-10.065563,1.9476573
-9.8627987,1.9475801
-9.7746897,1.9501101
-9.7911491,1.9492339
-10.09861,1.9531817
-10.249092,1.9505419
-10.579952,1.9496323
-10.745912,1.9479176
-10.753007,1.9500015
-10.774349,1.9508283
-11.097022,1.9502629
-11.01251,1.9515725
-10.80437,1.947696
-11.150395,1.9487941
-11.031515,1.9482799
-11.266459,1.9507712
-11.157591,1.9497474
-11.238382,1.9501543
-11.10816,1.9469403
-11.384317,1.9507011
-11.726131,1.9511018
-11.869422,1.9494225
-11.718946,1.9510696
-11.741058,1.9481521
-11.929476,1.9494363
-11.82812,1.9474541
-11.83205,1.9487177
-11.766355,1.9480444
-11.639398,1.9499886
-11.582623,1.9489652
-11.641848,1.9491382
-11.616254,1.9495689
-11.272797,1.9514325
-11.364596,1.9491428
-11.235076,1.949036
-11.142709,1.9510502
-11.092377,1.9515209
-11.151829,1.9522728
-11.252555,1.9475754
-11.042937,1.9496268
-10.711349,1.9529089
-10.887484,1.9483498
-10.676479,1.9485714
-10.734587,1.95032
-10.294888,1.9477143
-10.161975,1.9500144
-10.229977,1.9492844
-10.246655,1.9517826
-10.217298,1.9502941
-10.15044,1.9497732
-10.087929,1.9508283
-10.043616,1.9504783
-10.291668,1.9523096
-10.524295,1.9492127
-10.398516,1.9463127
-10.438725,1.9476712
-10.525564,1.9486165
-10.517061,1.9500972
-10.539741,1.9484501
-10.360395,1.9453729
-10.398173,1.9496388
-10.349261,1.948909
-10.15188,1.9487554
-10.093901,1.9483176
-10.343617,1.9493406
-10.266171,1.946705
-10.052534,1.9480509
-9.8194799,1.9508356
-9.6515713,1.9505676
-9.699358,1.9479884
-10.102886,1.9495053
-10.131368,1.9526027
-10.211356,1.9450488
-10.128666,1.948267
-10.458951,1.9469155
-10.424166,1.9506496
-10.652539,1.9500641
-10.676004,1.9490553
-10.683964,1.9490167
-10.525108,1.9478347
-10.395367,1.9490682
-10.659755,1.9524056
-10.91058,1.9487813
-10.530725,1.9496526
-10.567938,1.9496332
-10.323559,1.9472703
-10.159906,1.9458487
-10.197504,1.9518461
-10.201495,1.9521383
-10.132519,1.9526912
-9.8767195,1.9507509
-9.5716877,1.9484831
-9.9162455,1.9492836
-9.9364491,1.9502113
-9.9000006,1.9529605
-9.9906282,1.9493719
-9.8675232,1.9524884
-9.9507608,1.9509811
-9.9481096,1.9481015
-10.197126,1.9498109
-10.482954,1.9508909
-10.107405,1.9508531
-10.09122,1.9501349
-10.293597,1.9470359
-10.461465,1.9495763
-10.291423,1.9511267
-10.640222,1.9500715
-10.594774,1.9495431
-10.772489,1.9511211
-11.212811,1.9486607
-11.234431,1.9473218
-11.494081,1.947638
-11.968362,1.9498173
